id,gene_short_name,num_cells_expressed,is_tf,tf_family
AT1G01010,AT1G01010,6642,yes,NAC
AT1G01020,AT1G01020,7662,no,
AT1G01030,AT1G01030,1433,yes,B3
AT1G01040,AT1G01040,2451,no,
AT1G01050,AT1G01050,17796,no,
AT1G01060,AT1G01060,3570,yes,MYB_related
AT1G01070,AT1G01070,1089,no,
AT1G01080,AT1G01080,744,no,
AT1G01090,AT1G01090,12041,no,
AT1G01100,AT1G01100,18210,no,
AT1G01110,AT1G01110,2257,no,
AT1G01120,AT1G01120,4241,no,
AT1G01130,AT1G01130,252,no,
AT1G01140,AT1G01140,5383,no,
AT1G01160,AT1G01160,6400,no,
AT1G01170,AT1G01170,674,no,
AT1G01180,AT1G01180,1669,no,
AT1G01200,AT1G01200,2147,no,
AT1G01210,AT1G01210,3440,no,
AT1G01220,AT1G01220,1969,no,
AT1G01225,AT1G01225,1379,no,
AT1G01230,AT1G01230,12979,no,
AT1G01240,AT1G01240,6403,no,
AT1G01250,AT1G01250,8,yes,ERF
AT1G01260,AT1G01260,4357,yes,bHLH
AT1G01290,AT1G01290,2992,no,
AT1G01300,AT1G01300,7843,no,
AT1G01310,AT1G01310,189,no,
AT1G01320,AT1G01320,644,no,
AT1G01340,AT1G01340,1573,no,
AT1G01350,AT1G01350,11508,yes,C3H
AT1G01370,AT1G01370,1581,no,
AT1G01380,AT1G01380,2734,yes,MYB_related
AT1G01430,AT1G01430,5068,no,
AT1G01440,AT1G01440,2333,no,
AT1G01450,AT1G01450,8,no,
AT1G01453,AT1G01453,1306,no,
AT1G01470,AT1G01470,18126,no,
AT1G01480,AT1G01480,1777,no,
AT1G01490,AT1G01490,10780,no,
AT1G01500,AT1G01500,2015,no,
AT1G01510,AT1G01510,6721,no,
AT1G01520,AT1G01520,150,yes,MYB_related
AT1G01540,AT1G01540,8676,no,
AT1G01550,AT1G01550,17990,no,
AT1G01560,AT1G01560,821,no,
AT1G01570,AT1G01570,1344,no,
AT1G01580,AT1G01580,703,no,
AT1G01600,AT1G01600,215,no,
AT1G01610,AT1G01610,525,no,
AT1G01620,AT1G01620,22454,no,
AT1G01630,AT1G01630,12808,no,
AT1G01640,AT1G01640,2269,no,
AT1G01650,AT1G01650,10206,no,
AT1G01660,AT1G01660,761,no,
AT1G01670,AT1G01670,207,no,
AT1G01680,AT1G01680,307,no,
AT1G01690,AT1G01690,977,no,
AT1G01695,AT1G01695,47,no,
AT1G01710,AT1G01710,4274,no,
AT1G01720,AT1G01720,21524,yes,NAC
AT1G01725,AT1G01725,1484,no,
AT1G01730,AT1G01730,6616,no,
AT1G01740,AT1G01740,136,no,
AT1G01750,AT1G01750,7014,no,
AT1G01760,AT1G01760,230,no,
AT1G01770,AT1G01770,2326,no,
AT1G01780,AT1G01780,5563,no,
AT1G01790,AT1G01790,1405,no,
AT1G01800,AT1G01800,18029,no,
AT1G01810,AT1G01810,2369,no,
AT1G01820,AT1G01820,10486,no,
AT1G01830,AT1G01830,3785,no,
AT1G01840,AT1G01840,561,no,
AT1G01860,AT1G01860,918,no,
AT1G01880,AT1G01880,167,no,
AT1G01900,AT1G01900,314,no,
AT1G01910,AT1G01910,12685,no,
AT1G01920,AT1G01920,3897,no,
AT1G01930,AT1G01930,2912,no,
AT1G01940,AT1G01940,6653,no,
AT1G01950,AT1G01950,3798,no,
AT1G01960,AT1G01960,5996,no,
AT1G01970,AT1G01970,875,no,
AT1G01980,AT1G01980,28,no,
AT1G01990,AT1G01990,6210,no,
AT1G02010,AT1G02010,1180,no,
AT1G02020,AT1G02020,886,no,
AT1G02030,AT1G02030,144,yes,C2H2
AT1G02040,AT1G02040,98,no,
AT1G02050,AT1G02050,427,no,
AT1G02060,AT1G02060,73,no,
AT1G02070,AT1G02070,97,no,
AT1G02080,AT1G02080,7305,no,
AT1G02090,AT1G02090,12381,no,
AT1G02100,AT1G02100,10538,no,
AT1G02110,AT1G02110,1708,no,
AT1G02120,AT1G02120,6958,no,
AT1G02130,AT1G02130,12554,no,
AT1G02140,AT1G02140,18132,no,
AT1G02145,AT1G02145,3916,no,
AT1G02150,AT1G02150,1572,no,
AT1G02160,AT1G02160,7805,no,
AT1G02170,AT1G02170,11485,no,
AT1G02180,AT1G02180,831,no,
AT1G02190,AT1G02190,104,no,
AT1G02205,AT1G02205,1155,no,
AT1G02220,AT1G02220,2091,yes,NAC
AT1G02230,AT1G02230,4724,yes,NAC
AT1G02250,AT1G02250,64,yes,NAC
AT1G02260,AT1G02260,2784,no,
AT1G02270,AT1G02270,7501,no,
AT1G02280,AT1G02280,3824,no,
AT1G02290,AT1G02290,475,no,
AT1G02300,AT1G02300,45,no,
AT1G02305,AT1G02305,15752,no,
AT1G02310,AT1G02310,3339,no,
AT1G02320,AT1G02320,4,no,
AT1G02330,AT1G02330,7816,no,
AT1G02335,AT1G02335,297,no,
AT1G02340,AT1G02340,1925,yes,bHLH
AT1G02350,AT1G02350,363,no,
AT1G02360,AT1G02360,6176,no,
AT1G02370,AT1G02370,681,no,
AT1G02380,AT1G02380,1412,no,
AT1G02400,AT1G02400,8711,no,
AT1G02405,AT1G02405,287,no,
AT1G02410,AT1G02410,9001,no,
AT1G02420,AT1G02420,86,no,
AT1G02430,AT1G02430,2286,no,
AT1G02440,AT1G02440,505,no,
AT1G02450,AT1G02450,895,no,
AT1G02460,AT1G02460,573,no,
AT1G02470,AT1G02470,49,no,
AT1G02475,AT1G02475,720,no,
AT1G02500,AT1G02500,22480,no,
AT1G02510,AT1G02510,68,no,
AT1G02520,AT1G02520,4970,no,
AT1G02530,AT1G02530,57,no,
AT1G02560,AT1G02560,8688,no,
AT1G02570,AT1G02570,1510,no,
AT1G02575,AT1G02575,344,no,
AT1G02580,AT1G02580,247,no,
AT1G02610,AT1G02610,7481,no,
AT1G02640,AT1G02640,1106,no,
AT1G02650,AT1G02650,514,no,
AT1G02660,AT1G02660,3989,no,
AT1G02670,AT1G02670,258,no,
AT1G02680,AT1G02680,5683,no,
AT1G02690,AT1G02690,3034,no,
AT1G02700,AT1G02700,300,no,
AT1G02720,AT1G02720,6812,no,
AT1G02730,AT1G02730,468,no,
AT1G02740,AT1G02740,1571,no,
AT1G02750,AT1G02750,7096,no,
AT1G02770,AT1G02770,135,no,
AT1G02780,AT1G02780,19989,no,
AT1G02810,AT1G02810,5562,no,
AT1G02813,AT1G02813,62,no,
AT1G02816,AT1G02816,12905,no,
AT1G02820,AT1G02820,99,no,
AT1G02840,AT1G02840,12706,no,
AT1G02850,AT1G02850,2280,no,
AT1G02860,AT1G02860,4090,no,
AT1G02870,AT1G02870,5348,no,
AT1G02880,AT1G02880,11478,no,
AT1G02890,AT1G02890,3448,no,
AT1G02900,AT1G02900,6285,no,
AT1G02910,AT1G02910,2908,no,
AT1G02920,AT1G02920,2935,no,
AT1G02930,AT1G02930,4518,no,
AT1G02950,AT1G02950,410,no,
AT1G02960,AT1G02960,3348,no,
AT1G02970,AT1G02970,683,no,
AT1G02980,AT1G02980,1327,no,
AT1G02990,AT1G02990,2844,no,
AT1G03000,AT1G03000,1307,no,
AT1G03010,AT1G03010,561,no,
AT1G03030,AT1G03030,5865,no,
AT1G03040,AT1G03040,6963,yes,bHLH
AT1G03060,AT1G03060,7302,no,
AT1G03070,AT1G03070,3646,no,
AT1G03080,AT1G03080,10853,no,
AT1G03090,AT1G03090,4649,no,
AT1G03100,AT1G03100,248,no,
AT1G03103,AT1G03103,12,no,
AT1G03106,AT1G03106,683,no,
AT1G03110,AT1G03110,3304,no,
AT1G03120,AT1G03120,109,no,
AT1G03130,AT1G03130,971,no,
AT1G03140,AT1G03140,9242,no,
AT1G03150,AT1G03150,10204,no,
AT1G03160,AT1G03160,984,no,
AT1G03170,AT1G03170,115,no,
AT1G03180,AT1G03180,2825,no,
AT1G03190,AT1G03190,2594,no,
AT1G03200,AT1G03200,345,no,
AT1G03210,AT1G03210,6125,no,
AT1G03220,AT1G03220,20549,no,
AT1G03230,AT1G03230,11814,no,
AT1G03250,AT1G03250,7089,no,
AT1G03260,AT1G03260,5721,no,
AT1G03270,AT1G03270,709,no,
AT1G03280,AT1G03280,5120,no,
